,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
confirmed,"{'p': 6, 'd': 1, 'q': 2}","{'p': 2, 'd': 2, 'q': 3}","{'p': 8, 'd': 2, 'q': 4}","{'p': 8, 'd': 2, 'q': 3}","{'p': 6, 'd': 1, 'q': 2}","{'p': 2, 'd': 2, 'q': 3}","{'p': 2, 'd': 3, 'q': 4}","{'p': 6, 'd': 3, 'q': 2}","{'p': 8, 'd': 1, 'q': 2}","{'p': 8, 'd': 1, 'q': 4}","{'p': 2, 'd': 3, 'q': 2}","{'p': 8, 'd': 2, 'q': 2}","{'p': 4, 'd': 2, 'q': 4}","{'p': 4, 'd': 3, 'q': 3}","{'p': 4, 'd': 3, 'q': 2}","{'p': 2, 'd': 2, 'q': 5}","{'p': 4, 'd': 3, 'q': 5}","{'p': 6, 'd': 1, 'q': 3}","{'p': 8, 'd': 2, 'q': 2}","{'p': 4, 'd': 1, 'q': 5}","{'p': 6, 'd': 2, 'q': 5}","{'p': 4, 'd': 3, 'q': 4}","{'p': 6, 'd': 3, 'q': 5}","{'p': 8, 'd': 1, 'q': 5}","{'p': 6, 'd': 3, 'q': 2}","{'p': 4, 'd': 3, 'q': 2}","{'p': 4, 'd': 3, 'q': 5}","{'p': 2, 'd': 3, 'q': 3}","{'p': 2, 'd': 2, 'q': 3}","{'p': 2, 'd': 3, 'q': 2}","{'p': 4, 'd': 1, 'q': 4}","{'p': 6, 'd': 2, 'q': 5}","{'p': 6, 'd': 2, 'q': 3}","{'p': 4, 'd': 3, 'q': 2}","{'p': 8, 'd': 3, 'q': 3}","{'p': 2, 'd': 1, 'q': 4}","{'p': 6, 'd': 3, 'q': 3}","{'p': 2, 'd': 3, 'q': 2}","{'p': 6, 'd': 3, 'q': 3}","{'p': 4, 'd': 2, 'q': 4}","{'p': 4, 'd': 3, 'q': 4}","{'p': 8, 'd': 1, 'q': 5}","{'p': 4, 'd': 3, 'q': 4}","{'p': 4, 'd': 2, 'q': 4}","{'p': 4, 'd': 2, 'q': 4}","{'p': 2, 'd': 3, 'q': 4}","{'p': 2, 'd': 2, 'q': 4}","{'p': 6, 'd': 3, 'q': 5}","{'p': 8, 'd': 2, 'q': 2}","{'p': 6, 'd': 1, 'q': 3}"
deaths,"{'p': 8, 'd': 3, 'q': 3}","{'p': 2, 'd': 3, 'q': 3}","{'p': 6, 'd': 2, 'q': 2}","{'p': 2, 'd': 3, 'q': 4}","{'p': 6, 'd': 1, 'q': 3}","{'p': 4, 'd': 1, 'q': 4}","{'p': 6, 'd': 2, 'q': 5}","{'p': 4, 'd': 3, 'q': 2}","{'p': 4, 'd': 2, 'q': 4}","{'p': 4, 'd': 2, 'q': 3}","{'p': 4, 'd': 3, 'q': 2}","{'p': 8, 'd': 3, 'q': 2}","{'p': 4, 'd': 2, 'q': 5}","{'p': 2, 'd': 2, 'q': 4}","{'p': 6, 'd': 3, 'q': 2}","{'p': 8, 'd': 1, 'q': 3}","{'p': 2, 'd': 3, 'q': 2}","{'p': 4, 'd': 2, 'q': 5}","{'p': 4, 'd': 2, 'q': 5}","{'p': 4, 'd': 2, 'q': 5}","{'p': 6, 'd': 2, 'q': 3}","{'p': 6, 'd': 1, 'q': 3}","{'p': 4, 'd': 1, 'q': 5}","{'p': 8, 'd': 3, 'q': 3}","{'p': 8, 'd': 2, 'q': 5}","{'p': 2, 'd': 3, 'q': 4}","{'p': 6, 'd': 2, 'q': 5}","{'p': 4, 'd': 1, 'q': 4}","{'p': 4, 'd': 3, 'q': 4}","{'p': 2, 'd': 1, 'q': 3}","{'p': 2, 'd': 3, 'q': 3}","{'p': 6, 'd': 2, 'q': 4}","{'p': 8, 'd': 1, 'q': 5}","{'p': 2, 'd': 1, 'q': 2}","{'p': 2, 'd': 1, 'q': 4}","{'p': 6, 'd': 1, 'q': 5}","{'p': 6, 'd': 3, 'q': 2}","{'p': 6, 'd': 2, 'q': 2}","{'p': 4, 'd': 3, 'q': 2}","{'p': 4, 'd': 1, 'q': 5}","{'p': 4, 'd': 2, 'q': 5}","{'p': 6, 'd': 3, 'q': 4}","{'p': 6, 'd': 3, 'q': 4}","{'p': 8, 'd': 1, 'q': 2}","{'p': 2, 'd': 1, 'q': 2}","{'p': 4, 'd': 3, 'q': 2}","{'p': 4, 'd': 1, 'q': 4}","{'p': 8, 'd': 2, 'q': 4}","{'p': 6, 'd': 1, 'q': 5}","{'p': 8, 'd': 1, 'q': 3}"
