Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
New Jersey,US,2020-11-28 05:30:35,40.2989,-74.521,326473,16942,42923.0,266608.0,34.0,3675.5912674689453,5835907.0,,5.189403105310394,84000034.0,USA,65703.46952722245,
New Mexico,US,2020-11-28 05:30:35,34.8405,-106.2485,91852,1504,31102.0,59246.0,35.0,4380.519346117399,1521747.0,,1.6374167138440099,84000035.0,USA,72573.72918821707,
New York,US,2020-11-28 05:30:35,42.1657,-74.9481,628375,34477,84723.0,509175.0,36.0,3230.128406824849,18962849.0,,5.486691863934753,84000036.0,USA,97477.52095361873,
North Carolina,US,2020-11-28 05:30:35,35.6301,-79.8064,354514,5210,293555.0,55749.0,37.0,3380.1598080259473,5192822.0,,1.469617560942586,84000037.0,USA,49511.636253104014,
North Dakota,US,2020-11-28 05:30:35,47.5289,-99.78399999999999,77232,908,68105.0,8219.0,38.0,10134.608470176967,1065157.0,,1.1756784752434224,84000038.0,USA,139773.01059493847,
Ohio,US,2020-11-28 05:30:35,40.3888,-82.7649,399808,6346,254775.0,138687.0,39.0,3420.348872026076,5919541.0,,1.5872618857051384,84000039.0,USA,50641.54639792627,
Oklahoma,US,2020-11-28 05:30:35,35.5653,-96.9289,187567,1704,152969.0,32894.0,40.0,4740.166152342285,2061035.0,,0.9084753714672624,84000040.0,USA,52086.17904958112,
Oregon,US,2020-11-28 05:30:35,44.571999999999996,-122.0709,70832,885,5870.0,64077.0,41.0,1679.3839919369086,1031436.0,,1.2494352834876892,84000041.0,USA,24454.72536575893,
Pennsylvania,US,2020-11-28 05:30:35,40.5908,-77.2098,349238,10195,209604.0,129439.0,42.0,2727.997969690491,3129689.0,,2.9192126859047414,84000042.0,USA,24446.89649397449,
Rhode Island,US,2020-11-28 05:30:35,41.6809,-71.5118,53954,1346,3619.0,48989.0,44.0,5093.070256503685,1519021.0,,2.4947177225043555,84000044.0,USA,143390.30793091306,
South Carolina,US,2020-11-28 05:30:35,33.8569,-80.945,213120,4346,112233.0,96541.0,45.0,4139.286043077941,2339037.0,,2.0392267267267266,84000045.0,USA,45429.53832743476,
South Dakota,US,2020-11-28 05:30:35,44.2998,-99.4388,78280,888,61010.0,16382.0,46.0,8848.607203453534,323484.0,,1.13438937148697,84000046.0,USA,36565.953661241234,
Tennessee,US,2020-11-28 05:30:35,35.7478,-86.6923,356716,4526,318523.0,33667.0,47.0,5223.413548988501,4426634.0,,1.268796465535608,84000047.0,USA,64819.464257317224,
Texas,US,2020-11-28 05:30:35,31.0545,-97.5635,1207243,21693,946663.0,238887.0,48.0,4163.498256873106,10498559.0,,1.7969041858184307,84000048.0,USA,36207.070238700464,
Utah,US,2020-11-28 05:30:35,40.15,-111.8624,190044,849,126690.0,62505.0,49.0,5927.838106425599,1797403.0,,0.4467386499968428,84000049.0,USA,56064.45873589112,
Vermont,US,2020-11-28 05:30:35,44.0459,-72.7107,4005,67,2439.0,1499.0,50.0,641.8382375330334,546179.0,,1.6729088639201,84000050.0,USA,87530.22889826584,
Virginia,US,2020-11-28 05:30:35,37.7693,-78.17,230444,4044,23858.0,202542.0,51.0,2699.824111457077,3269710.0,,1.7548732012983632,84000051.0,USA,38307.10235663467,
Washington,US,2020-11-28 05:30:35,47.4009,-121.4905,158167,2703,,155464.0,53.0,2077.074490738084,2894367.0,,1.7089531950406849,84000053.0,USA,38009.29310497206,
West Virginia,US,2020-11-28 05:30:35,38.4912,-80.9545,45046,712,29008.0,15326.0,54.0,2513.5214912615984,1102054.0,,1.5806064911423878,84000054.0,USA,61493.504718083954,
Wisconsin,US,2020-11-28 05:30:35,44.2685,-89.6165,399526,3434,301541.0,94551.0,55.0,6861.838193442813,4351880.0,,0.859518529457407,84000055.0,USA,74743.31181770372,
Wyoming,US,2020-11-28 05:30:35,42.756,-107.3025,31773,215,21700.0,9858.0,56.0,5489.849833868674,393512.0,,0.6766751644478016,84000056.0,USA,67992.37679241273,
Alabama,US,2020-11-27 05:30:26,32.3182,-86.9023,241957,3572,161946.0,76439.0,1.0,4934.690410416903,1562942.0,,1.4762953747980012,84000001.0,USA,31876.05607375614,
Alaska,US,2020-11-27 05:30:26,61.3707,-152.4044,30102,119,7165.0,22818.0,2.0,4114.852811515355,969573.0,,0.3953225699289084,84000002.0,USA,132537.71128228612,
Arizona,US,2020-11-27 05:30:26,33.7298,-111.4312,314324,6568,50352.0,257404.0,4.0,4318.3984210404105,2178685.0,,2.089563634975376,84000004.0,USA,29932.266909126978,
Arkansas,US,2020-11-27 05:30:26,34.9697,-92.3731,152625,2436,132580.0,17609.0,5.0,5057.485509330626,1647144.0,,1.5960687960687958,84000005.0,USA,54580.88066686902,
California,US,2020-11-27 05:30:26,36.1162,-119.6816,1171802,19025,,1152777.0,6.0,2965.669635950374,23096745.0,,1.6235678041170778,84000006.0,USA,58454.68375697312,
Colorado,US,2020-11-27 05:30:26,39.0598,-105.3111,216683,2957,11782.0,201944.0,8.0,3762.6833388438013,3046149.0,,1.3646663559208614,84000008.0,USA,52896.13901383915,
Connecticut,US,2020-11-27 05:30:26,41.5978,-72.7554,109152,4926,9800.0,94426.0,9.0,3061.5207134797283,3083113.0,,4.5129727352682485,84000009.0,USA,86475.8713674383,
Delaware,US,2020-11-27 05:30:26,39.3185,-75.5071,33579,761,16712.0,16106.0,10.0,3448.371473991645,705587.0,,2.2662973882486077,84000010.0,USA,72459.75410879844,
Florida,US,2020-11-27 05:30:26,27.7663,-81.6868,961676,18254,,943422.0,12.0,4477.548076876069,11949292.0,,1.8981444894122343,84000012.0,USA,55635.712458905706,
Georgia,US,2020-11-27 05:30:26,33.0406,-83.6431,461517,9336,,452181.0,13.0,4346.789235014937,4226691.0,,2.0228940645740026,84000013.0,USA,39809.01015246355,
Hawaii,US,2020-11-27 05:30:26,21.0943,-157.4983,17881,237,11958.0,5686.0,15.0,1262.8966460244994,649900.0,,1.3254292265533247,84000015.0,USA,45901.04190209285,
Idaho,US,2020-11-27 05:30:26,44.2405,-114.4788,96503,895,39199.0,56409.0,16.0,5400.083376933688,464446.0,,0.9274323078039024,84000016.0,USA,25989.317680106768,
Illinois,US,2020-11-27 05:30:26,40.3495,-88.9861,697489,12594,,684895.0,17.0,5504.252309119583,10212093.0,,1.8056198735750668,84000017.0,USA,80588.99348404622,
Indiana,US,2020-11-27 05:30:26,39.8494,-86.2583,318894,5561,182726.0,130607.0,18.0,4736.8334274330655,4100250.0,,1.7438396457757124,84000018.0,USA,60904.88143656647,
Iowa,US,2020-11-27 05:30:26,42.0115,-93.2105,223323,2349,124520.0,96454.0,19.0,7078.2264735806175,1057718.0,,1.051839711986674,84000019.0,USA,33524.390900994265,
Kansas,US,2020-11-27 05:30:26,38.5266,-96.7265,150647,1503,3299.0,145845.0,20.0,5170.98397220485,799185.0,,0.9976966019900828,84000020.0,USA,27432.161449126317,
Kentucky,US,2020-11-27 05:30:26,37.6681,-84.6701,166139,1835,27349.0,136955.0,21.0,3718.6920349810734,2480097.0,,1.1044968369858974,84000021.0,USA,55512.05291882373,
Louisiana,US,2020-11-27 05:30:26,31.1695,-91.8678,225638,6350,192488.0,26800.0,22.0,4853.6889352378275,3310705.0,,2.8142422818851442,84000022.0,USA,71216.42731426687,
Maine,US,2020-11-27 05:30:26,44.6939,-69.3819,11265,190,8791.0,2284.0,23.0,838.037452425659,841328.0,,1.6866400355082112,84000023.0,USA,62588.936864125586,
Maryland,US,2020-11-27 05:30:26,39.0639,-76.8021,190480,4547,8561.0,177372.0,24.0,3150.679493456485,4288122.0,,2.3871272574548508,84000024.0,USA,70928.69619298408,
Massachusetts,US,2020-11-27 05:30:26,42.2302,-71.5301,214594,10604,145682.0,58308.0,25.0,3113.440792118625,8130694.0,,4.941424270948861,84000025.0,USA,117964.31572100875,
Michigan,US,2020-11-27 05:30:26,43.3266,-84.5361,352433,9170,152267.0,190996.0,26.0,3528.968122803801,6392563.0,,2.601912987716814,84000026.0,USA,64009.75802497222,
Minnesota,US,2020-11-27 05:30:26,45.6945,-93.9002,289303,3434,240720.0,45149.0,27.0,5129.820527296816,3873062.0,,1.1869908020310884,84000027.0,USA,68675.79303046723,
Mississippi,US,2020-11-27 05:30:26,32.7416,-89.6787,147382,3763,121637.0,21982.0,28.0,4952.104212524306,1094654.0,,2.553229023897084,84000028.0,USA,36780.88697844093,
Missouri,US,2020-11-27 05:30:26,38.4561,-92.2884,293496,3835,,289661.0,29.0,4782.068319172136,3009614.0,,1.3066617602965631,84000029.0,USA,49037.05591332394,
Montana,US,2020-11-27 05:30:26,46.9219,-110.4544,59682,658,43077.0,15947.0,30.0,5584.134403964154,631927.0,,1.102509969505043,84000030.0,USA,59126.123479338086,
Nebraska,US,2020-11-27 05:30:26,41.1254,-98.2681,122952,982,59677.0,62293.0,31.0,6356.053118059893,1313816.0,,0.7986856659509401,84000031.0,USA,67918.24682280057,
Nevada,US,2020-11-27 05:30:26,38.3135,-117.0554,144781,2093,,142688.0,32.0,4700.443743758433,1592915.0,,1.4456316781898175,84000032.0,USA,51715.400129084366,
New Hampshire,US,2020-11-27 05:30:26,43.4525,-71.5639,18846,514,13969.0,4363.0,33.0,1386.0298254555566,785563.0,,2.7273692030139016,84000033.0,USA,57774.26232486168,
New Jersey,US,2020-11-27 05:30:26,40.2989,-74.521,322378,16925,42489.0,262964.0,34.0,3629.487772722718,5831812.0,,5.250048080203984,84000034.0,USA,65657.36603247622,
New Mexico,US,2020-11-27 05:30:26,34.8405,-106.2485,89796,1469,30777.0,57550.0,35.0,4282.466524451923,1504856.0,,1.6359303309724265,84000035.0,USA,71768.1794748165,
New York,US,2020-11-27 05:30:26,42.1657,-74.9481,620199,34443,84339.0,501417.0,36.0,3188.100111850987,18743407.0,,5.553540073428046,84000036.0,USA,96349.49097494283,
North Carolina,US,2020-11-27 05:30:26,35.6301,-79.8064,346506,5138,293555.0,47813.0,37.0,3303.8064912523582,5084569.0,,1.482802606592671,84000037.0,USA,48479.48395531539,
North Dakota,US,2020-11-27 05:30:26,47.5289,-99.78399999999999,76442,903,67200.0,8339.0,38.0,10030.942364269577,1058014.0,,1.181287773736951,84000038.0,USA,138835.6852854492,
Ohio,US,2020-11-27 05:30:26,40.3888,-82.7649,382743,6274,242146.0,134323.0,39.0,3274.358162732802,5856888.0,,1.6392200510525343,84000039.0,USA,50105.55132559394,
Oklahoma,US,2020-11-27 05:30:26,35.5653,-96.9289,184342,1680,149345.0,33317.0,40.0,4658.664417808471,2057810.0,,0.911349556802031,84000040.0,USA,52004.677315047295,
Oregon,US,2020-11-27 05:30:26,44.571999999999996,-122.0709,68503,867,5870.0,61766.0,41.0,1624.1648068620684,1030663.0,,1.2656380012554194,84000041.0,USA,24436.398002056558,
Pennsylvania,US,2020-11-27 05:30:26,40.5908,-77.2098,340642,10172,203253.0,127217.0,42.0,2660.852153520832,3101483.0,,2.98612619700448,84000042.0,USA,24226.571355435473,
Rhode Island,US,2020-11-27 05:30:26,41.6809,-71.5118,52317,1335,3510.0,47472.0,44.0,4938.543140629115,1492195.0,,2.551751820631917,84000044.0,USA,140858.02667834665,
South Carolina,US,2020-11-27 05:30:26,33.8569,-80.945,210905,4317,111013.0,95575.0,45.0,4096.265591757477,2308163.0,,2.0468931509447383,84000045.0,USA,44829.893445237,
South Dakota,US,2020-11-27 05:30:26,44.2998,-99.4388,76142,849,59981.0,15312.0,46.0,8606.932162562072,318354.0,,1.1150219327046833,84000046.0,USA,35986.069208587716,
